name,line
"          RIVER - DAY
","
"
"         EXT. DORAMILAJE BARGE WAKANDAN
","
"
"          , RIVER - DAY
","         T'Challa, dressed in his Black Panther armor, sits at the
"
"         EXT. ROYALBARGE WAKANDAN
","         console in the back of the ROYALTALONFIGHTER. A BBC news
"
"          , RIVER - DAY
","         report plays on the screen .
"
"         EXT. RIVER TRIBE BARGE WAKANDAN
","          The tiny nation of Wakanda is
"
"          , RIVER - DAY
","          mourning the death of its monarch ,
"
"         EXT. DORAMILAJE BARGE WAKANDAN
","          King T'Chaka. The beloved ruler was
"
"          , RIVER - DAY
","          one of many confirmed dead after a
"
"         EXT. WAKANDAN
","          terrorist attack at the United
"
"          FALLS - DAY
","          Nations a week ago . The Suspect has
"
"          ELDERS WARRIORS, DORA
","          since been apprehended .
"
"                         CROWD
","          7.
"
"         EXT. SEATING AREA WARRIOR
","
"
"          , FALLS
","          Though it remains one of the
"
"         EXT. CHALLENGE
","          poorest countries in the world,
"
"                         POOL WARRIOR
","          fortified by mountain ranges and an
"
"          , FALLS - DAY
","          impenetrable rain forest, Wakanda
"
"                         ZURI
","          does not engage in international
"
"                         VESSEL
","          trade or accept aid . The succession
"
"                         ZURI (CONT'D)
","          of the throne is expected to fall
"
"                         ZURI (CONT'D)
","          to the oldest of the King's two
"
"                         CROWD
","          children , Prince T'Challa .
"
"                         ZURI
","         Piloting the craft while seated in lotus position is OKOYE
"
"                         MERCHANT
","         (30s , Head of the Dora Milaje.)
"
"                         TRIBE ELDER
","          My Prince , coming up on them now.
"
"                         BORDERTRIBE ELDER
","
"
"          RIVER TRIBE ELDER
","
"
"          MINING TRIBE ELDER
","          ,
"
"                         ZURI
","          overhead view of a SIX CAR MILITARY CONVOY,moving like a
"
"         ON SHUR!
","         sinister serpent through the surrounding wilderness. We pull
"
"          SHUR!
","         back into the sky revealing the tip of a futuristic looking
"
"                         CAN
","         aircraft. This is the ROYALTALONFIGHTER (RTF) .
"
"         BACK IN THE POOL
","
"
"         ON THE AUDIENCE
","
"
"         ON SHURI AND RAMONDA
","         T'Challa stands, and moves to a sand model of the convoy down
"
"                         SHURI (CONT'D)
","         below .
"
"                         RAMONDA
","         Okoye gets up out of her chair and grabs her SPEAR off the
"
"         BACKIN THE POOL
","         wall. She moves towards the back of the craft .
"
"                         ZURI
","          No need, Okoye. I can handle this
"
"                         M'BAKU
","          alone .
"
"                         M'BAKU (CONT'D)
","         Okoye pauses, then returns her spear to the wall . T'Challa
"
"                         M'BAKU (CONT'D)
","         closes the model and steps to a marked circle in the floor.
"
"                         WITH T'CHALLA)
","                         '
"
"                         (BEAT)
","          I will get Nakia out as quickly as
"
"                         WISH TO
","          possible .
"
"                         T'CHALLA
","         Okoye places six KIMOYOBEADS into T'Challa's gloved hands .
"
"                         (INTERRUPTING)
","          Just don't freeze when you see her .
"
"                         M'BAKU
","          What are you talking about? I never
"
"                         ZURI
","          freeze.
"
"                         M'BAKU
","          8.
"
"          M'BAKU (CONT D)
","
"
"         EXT. SEATING AREA, WARRIORFALLS - DAY
","
"
"                         RAMONDA
","         T'Challa slips on his helmet , revealing himself to be Black
"
"         EXT. CHALLENGE
","         Panther and folds his arms over his chest . Okoye opens her
"
"                         POOL WARRIOR
","         closed fist , dropping Panther out of the aircraft.
"
"          , FALLS - DAY
","
"
"                         T'CHALLA
","
"
"                         N
","         Panther hurdles through the clouds and throws the spheres
"
"         ON SHUR!
","         toward the cars below. The spheres CHANGESHAPE into edged
"
"          SHUR!
","         discs that we follow through the air as they zip toward . . .
"
"         BACK IN THE CHALLENGE
","
"
"                         POOL
","
"
"         CHOKES .
","          ,
"
"                         T'CHALLA
","         WHAM The discs mount themselves
"
"                         M'BAKU
","          . to hoods of ALL THE
"
"                         T'CHALLA
","         VEHICLES sending a sonic ripple
"
"          T'CHALLA (CONT' D)
","          , through them , stopping the
"
"                         T'CHALLA (CONT'D)
","         convoy in its tracks .
"
"                         ZURI
","
"
"                         T'CHALLA
","         The MILITANT LEADERriding shotgun watches as The DRIVER
"
"                         ZURI
","         looks around, confused. He tries turning the key to start the
"
"                         T'CHALLA
","         truck up again -- nothing .
"
"         EXT. CITY OF THE DEAD - DUSK
","         The Militant Leader grabs his AK-47 and climbs out to the
"
"         INT. HALL OF KINGS, CITY OF THE DEAD - DUSK
","         front of the truck, he spots the disk mounted to it, and
"
"                         ZURI
","         tries pulling it off to no avail . He raises his fist .
"
"                         ZURI (CONT'D)
","          Defense position !
"
"         INT . HALL OF KINGS, CITY OF THE DEAD - FLASHBACK
","         The militant leader slips down a Night Vision MONOCULAR as
"
"         INT. UNITED NATIONS BUILDING - FLASHBACK
","         the other MILITANTS echo the call and begin to fall in line .
"
"         INT . HALL OF KINGS, CITY OF THE DEAD - DUSK
","
"
"                         ZURI
","         Packed closely together , SEVERALNIGERIAN WOMEN
"
"         INT . UNITED NATIONS BUILDING - FLASHBACK
","         hijab sit, waiting.
"
"         EXT. UNITED NATIONS - FLASHBACK
","         A CARGOTRUCKMILITANT sits amongst the women, RIFLE in hand,
"
"         INT. HALL OF KINGS, CITY OF THE DEAD - DUSK
","         next to a YOUNGMILITANT, a child soldier no older than
"
"         EXT. BLACKPANTHERANCESTRALPLANE - UNKNOWN
","         twelve.
"
"                         T'CHALLA
","         We find a WOMAN sitting in the back corner , her eyes
"
"                         T'CHAKA
","         observing the militants intensely. This is NAKIA (30's, a
"
"                         (IN XHOSA)
","         Wakandan spy) .
"
"                         T'CHALLA
","         The CARGOTRUCKMILITANT stands up and cocks his rifle .
"
"                         T'CHAKA
","          No games .
"
"                         T'CHAKA (CONT'D)
","          9.
"
"                         (IN XHOSA)
","
"
"                         T'CHALLA
","
"
"                         (IN XHOSA)
","         He and the Young Militant exit the vehicle as Nakia watches
"
"                         T'CHAKA
","         closely.
"
"                         (IN XHOSA)
","
"
"                         T'CHALLA
","
"
"                         T'CHAKA
","          ,
"
"                         (BEAT)
","         The pickup's driver climbs out , cocking a submachine gun and
"
"                         T'CHALLA
","         looks into the forest in the wrong direction .
"
"                         (BEAT)
","         Slowly approaching , the militant leader points to SHIFTING
"
"                         T'CHAKA
","         FOLIAGE in the direction of Panther.
"
"         INT . HALL OF KINGS, CITY OF THE DEAD - DUSK
","         The militants nod and the militant leader covers them while
"
"                         ZURI
","         they go off into the grass.
"
"                         T'CHALLA
","         The militants move slowly following every sound . They point
"
"         EXT. STEP TOWN, GOLDENCITY - DAY
","         their guns at the base of a TREE, but it ' s just a stray DOG.
"
"                         T'CHALLA
","         The gunmen approach the tree, eyeing around , then look up to
"
"                         NAKIA
","         find PANTHERstalking his prey from the tree tops.
"
"                         T'CHALLA
","
"
"                         NAKIA
","          ,
"
"                         T'CHALLA
","          What do you see?
"
"                         NAKIA
","
"
"                         T' CHALLA
","         Nakia climbs out of the truck while the other captive women
"
"                         NAKIA
","         look on.
"
"                         T'CHALLA
","
"
"                         NAKIA
","
"
"                         T' CHALLA
","          ,
"
"                         NAKIA
","          Come in! Come in !
"
"         EXT. WAKANDAN
","         We hear a faint struggle, then a MILITANT'S BODYis hurled
"
"          BORDERREGION - DAY
","         into the side of the pickup truck as the other militants look
"
"                         T'CHALLA
","         on in horror !
"
"                         W'KABI
","         The . SO CAL GUNNERand all of the other men in the convoy
"
"                         W'KABI (CONT'D)
","         BLINDLY OPEN FIRE into the trees .
"
"                         W'KABI (CONT'D)
","          10 .
"
"                         T'CHALLA
","
"
"                         W'KABI
","
"
"                         T'CHALLA
","         Then PANTHERemerges from behind them, flipping into the
"
"                         W'KABI
","         truck bed and SLASHING clean through the base of the
"
"                         W'KABI (CONT'D)
","         then taking the gunner out with a single blow .
"
"                         T'CHALLA
","
"
"          T' CHALLA (CONT'D)
","          ,
"
"                         W' KABI
","         Slipping behind a MILITANT, Nakia picks up the man's RIFLE
"
"                         OKOYE(DISPLAY)
","         and quickly disassembles it as another MILITANT approaches
"
"         INT. TRIBAL COUNCILROOM- DAY
","         and using the BARRELlike a combat stick, puts him on his
"
"                        AN
","         back , out cold.
"
"                         OKOYE
","         She leaps onto a second militant, easily taking him down and
"
"                         T'CHALLA
","         striking him in the throat.
"
"          MERCHANT TRIBE ELDER
","
"
"                         W'KABI
","         The four men don't see Panther coming and executing a BARRAGE
"
"                         OKOYE
","         OF PUNCHESAND KICKS, Panther viciously dispatches them. He
"
"                         W'KABI
","         spots the Young Militant firing at him then SLASHES through a
"
"                         T'CHALLA
","         car door, and THROWS THE DOORat a Militant behind him-
"
