name,line
"                         KLAUE
","          You are teaching me, what do you
"
"                         KLAUE (CONT'D)
","          know?
"
"                         KLAUE (CONT'D)
","         Shuri holds out her hand and T'Challa drops the beads into
"
"                         ROSS
","         her hand . Shuri heads off .
"
"                         KLAUE
","          I cannot wait to see what kind of
"
"                         KLAUE (CONT'D)
","          update you make to your ceremonial
"
"          NAKIA (O. S . )
","          outfit.
"
"                         KLAUE
","         Shuri flips him off .
"
"                         ROSS
","          Shuri!
"
"                        ON NAKIA
","         T'Challa smiles at this .
"
"                         NAKIA
","          Sorry mother .
"
"                        ON T'CHALLA
","         Ramonda turns to T'Challa .
"
"                         T'CHALLA
","          How are you feeling today, mama?
"
"         BACKIN THE PIT
","          Proud ... your father and I would
"
"                         ROSS
","          talk about this day all the time .
"
"                         KLAUE
","          He is with us , and it is your time
"
"                        ON NAKIA
","          to be King .
"
"                         NAKIA
","
"
"                        ON OKOYE
","
"
"                         OKOYE
","          ,
"
"                         (IN XHOSA)
","         Museum employees congregate outside as tourists and school
"
"          STAND DOWN!
","         groups move toward the main entrance .
"
"                        ON OKOYE
","          15.
"
"                         SOUTHAFRICAN TOUGH
","
"
"          SOUTHAFRICAN TOUGH(CONT'D)
","
"
"                         OKOYE
","
"
"                         (INTO COMMS)
","         We see a black man in high-end street wear , around 30 years
"
"                         (IN XHOSA)
","         old . A RING hangs on a gold chain around his neck . This is
"
"                        DOWNSTAIRS
","         Killmonger stands dangerously close to the glass containing
"
"                         KLAUE
","         SEVERALWEST AFRICAN ARTIFACTS They range from what looks
"
"                        ON OKOYE
","          .
"
"         INT. UNDERGROUND
","         like iron gardening tools to masks and short range weapons.
"
"          CASINO, BALCONY NIGHT
","         Flanking the room are TWOSECURITY GUARDS slight
"
"                         T'CHALLA
","          , l y unnerved
"
"                         (IN XHOSA)
","         by his presence .
"
"                         KLAUE
","         We follow the MUSEUM DIRECTOR a British
"
"                         KLAUE (CONT'D)
","          , woman (mid-40's) as
"
"         ON NAKIA AND OKOYE
","         she enters and walks up behind Killmonger as he studies t he
"
"         EXT. JAGALCHI FISH MARKET NIGHT
","         war masks .
"
"                         KLAUE
","          Good morning ! How can I help you?
"
"                         NAKIA
","          I was just checking out these
"
"                         OKOYE
","          artifacts . They tell me you're the
"
"                         T'CHALLA
","          expert .
"
"         INT . SHURI'S LAB, WAKANDAN
","          You could say that.
"
"          DESIGN GROUP- NIGHT
","          They're beautiful .
"
"          GRIOT (O. S . )
","         Killmonger points at one of the masks .
"
"                         SHURI
","          Where's this one from?
"
"                         (EXCITED)
","          From the Bobo Ashanti Tribe ,
"
"          T'CHALLA (O. S . )
","          prese nt da y Ghana . 19th Century .
"
"                         SHURI
","          For real? What about this one?
"
"         EXT. JAGALCHI FISH MARKET NIGHT
","          That one's from the Edo people of
"
"         PANTHERSPRINTS AFTER THE CARS AS NANITES SCRAMBLE
","          Benin . 16th Century .
"
"                         FROMHIS
","          Now, tell me about this one .
"
"         NECKLACE,COVERINGHIS ENTIRE BODY, FORMINGHIS NEWMASKOVER
","         Killmonger points to a MINING TOOL off to the side.
"
"         I/E. LEXUS LC/SHURI'S COCKPIT - NIGHT
","          16.
"
"                         SHURI
","
"
"         INT. KLAUE'S 4RUNNER, BUSAN STREETS - NIGHT
","
"
"                         KLAUE
","          Also from Benin . 7th Century. Fula
"
"         EXT. BUSAN STREETS - NIGHT
","          tribe I believe .
"
"         EXT. BUSANROADSPLIT - NIGHT
","          Nah.
"
"                         NAKIA
","          I beg your pardon?
"
"         NT. KLAUE'S 4RUNNER BUSAN STREETS - NIGHT
","          It was taken by British soldiers in
"
"                         KLAUE
","          Benin but it's from Wakanda and
"
"                         (INTO RADIO)
","          it's made out of vibranium . Don't
"
"         I/E . NAKIA'S LEXUS SEDAN SPLIT STREET - NIGHT
","          trip, I'mma take it off your hands
"
"                         OKOYE
","          for you.
"
"          NA.KIA
","         She looks at Killmonger like he's crazy .
"
"         EXT. BUSANROADSPLIT - NIGHT
","          These items aren't for sale.
"
"         I/E. LEXUS LC/SHURI'S COCKPIT - NIGHT
","          How do you think your ancestors got
"
"                         SHURI
","          these? You think they paid a fair
"
"         EXT. WASHIRO(YEONGDOGU) PANTHER'S HILLS - NIGHT
","          price? Or did they take it like
"
"         I/E . LEXUS LC/SHURI'S COCKPIT - NIGHT
","          they took everything else .
"
"                         SHURI
","          Sir , I'm going to have to ask you
"
"         EXT. WASHIRO(YEONGDOGU),
","          to leave .
"
"          PANTHER'S HILLS - NIGHT
","         The Museum Director subtly looks back at the security guards ,
"
"                         T'CHALLA
","         then makes a face and touches her stomach -- indigestion .
"
"         I/E . LEXUS LC/SHURI'S COCKPIT - NIGHT
","         Killmonger smiles and leans over, whispering in her ear .
"
"                         SHURI
","          You got all this security watching
"
"         EXT. WASHIRO(YEONGDOGU),
","          me ever since I walked in. But , you
"
"          PANTHER'S HILLS - NIGHT
","          ain't checking for what you put in
"
"         I/E . LEXUS LC/SHURI'S COCKPIT - NIGHT
","          your body .
"
"                         SHURI
","         The museum director looks at Killmonger in terror as a
"
"         EXT. WASHIRO (YEONGDOGU) PANTHER'S HILLS - NIGHT
","         security guard walks up behind him .
"
"                         T'CHALLA
","          Alright, mate. Let's have it . Come
"
"         I/E . NAKIA'S LEXUS SEDAN SPEAR STREET - NIGHT
","          on , mate.
"
"                         OKOYE
","          I think she might not be feelin'
"
"                         KLAUE
","          too good .
"
"                         (INTO RADIO)
","          17.
"
"         I/E . NAKIA'S LEXUS SEDAN SPEAR STREET - NIGHT
","
"
"                         NAKIA
","
"
"                         OKOYE
","         The Museum Director suddenly slumps to the floor, clutching
"
"                         NAKIA
","         her stomach .
"
"         I/E. THIRD 4RUNNER, SPEAR STREET - NIGHT
","          Hey! Hey somebody get some help !
"
"                         OF
","          Come here! Call a doctor, please!
"
"         I/E. NAKIA'$ LEXUS SEDAN SPEAR STREET - NIGHT
","          Hey please, somebody come help !
"
"                         NAKIA
","         The security guards quickly rush to the museum director's
"
"                         WOOL
","         aid .
"
"                         KLAUE
","          Medical Emergency right away in the
"
"         EXT. YEONGDOGU
","          West African Exhibit please . Right
"
"          , ENTRANCE DIAMOND
","          away !
"
"          TO BRIDGE - NIGHT
","         Killmonger stands back and looks toward the door.
"
"         I/E . LEXUS LC/SHURI'S COCKPIT, DIAMONDBRIDGE - NIGHT
","
"
"          SHURI (O.S.)
","          , -
"
"                         T'CHALLA
","         LINDA, A young black barista , looks on as TWOEMTs push a
"
"         EXT. DIAMONDBRIDGE - NIGHT
","         STRETCHERthrough the entrance . They head towards the West
"
"         I/E . SECOND4RUNNER, DIAMONDBRIDGE - NIGHT
","         African Exhibit .
"
"                         DRIVER
","          I'm gonna take a break.
"
"         SUV.
","         Preoccupied with the commotion, her co-worker nods and Linda
"
